Gain [dB],Phase [rads.],Amplitude [dBm],Frequency [GHz]
4.2933,2.8663525567185233,-42.739479064941406,5.965
4.2933,3.008117775286067,-43.013031005859375,5.965
4.2933,3.1509028875123697,-43.441505432128906,5.965
4.2933,3.2926681060799137,-43.3647346496582,5.965
4.2933,3.4354532183062165,-42.959503173828125,5.965
4.2933,3.5782383305325194,-42.63949966430664,5.965
4.2933,3.720003549100063,-42.69450759887695,5.965
4.2933,3.862788661326366,-43.4487190246582,5.965
4.2933,4.005573773552669,-43.08460998535156,5.965
4.2933,4.147338992120214,-42.65976333618164,5.965
4.2933,4.290124104346516,-42.99105072021485,5.965
4.2933,4.431889322914061,-43.0118522644043,5.965
4.2933,4.574674435140364,-42.51403427124024,5.965
4.2933,4.717459547366666,-42.81210708618164,5.965
4.2933,4.8592247659342105,-42.83711242675781,5.965
4.2933,5.0020098781605125,-43.3505973815918,5.965
4.2933,5.144794990386816,-42.607418060302734,5.965
4.2933,5.28656020895436,-43.51874542236328,5.965
4.2933,5.286749202571742,-43.03675842285156,5.965
4.2933,5.429534314798045,-43.10790252685547,5.965
4.2933,5.57129953336559,-43.51324844360352,5.965
4.2933,5.714084645591892,-43.13551330566406,5.965
4.2933,5.856869757818195,-42.56820297241211,5.965
4.2933,5.9986349763857385,-43.1363525390625,5.965
4.2933,6.141420088612042,-42.98131942749024,5.965
4.2933,6.283185307179586,-43.087100982666016,5.965
4.3911,0.017789567803776943,-43.04004287719727,5.965
4.3911,0.1605746800300799,-42.91858673095703,5.965
4.3911,0.30233989859762367,-43.92598342895508,5.965
4.3911,0.4451250108239269,-43.01874542236328,5.965
4.3911,0.5879101230502298,-42.80977249145508,5.965
4.3911,0.7296753416177736,-43.06557083129883,5.965
4.3911,0.8724604538440768,-43.16330337524414,5.965
4.3911,1.0142256724116203,-42.84888458251953,5.965
4.3911,1.1570107846379236,-43.07135772705078,5.965
4.3911,1.2997958968642267,-43.66701889038086,5.965
4.3911,1.4415611154317702,-42.93538665771485,5.965
4.3911,1.5843462276580733,-42.80665969848633,5.965
4.3911,1.7271313398843766,-42.58443832397461,5.965
4.3911,1.86889655845192,-43.0490837097168,5.965
4.3911,2.011681670678223,-43.12628936767578,5.965
4.3911,2.153446889245767,-42.81366729736328,5.965
4.3911,2.2962320014720703,-42.80743789672852,5.965
4.3911,2.4390171136983736,-43.31896209716797,5.965
4.3911,2.5807823322659167,-42.71426773071289,5.965
4.3911,2.72356744449222,-42.8082160949707,5.965
4.3911,2.8663525567185233,-43.11959457397461,5.965
4.3911,3.008117775286067,-42.93538665771485,5.965
4.3911,3.1509028875123697,-42.95225524902344,5.965
4.3911,3.2926681060799137,-43.73586654663086,5.965
4.3911,3.4354532183062165,-42.98051071166992,5.965
4.3911,3.5782383305325194,-42.92498016357422,5.965
4.3911,3.720003549100063,-43.571319580078125,5.965
4.3911,3.862788661326366,-43.15654754638672,5.965
4.3911,4.005573773552669,-43.47223663330078,5.965
4.3911,4.147338992120214,-43.00243377685547,5.965
4.3911,4.290124104346516,-42.84024810791016,5.965
4.3911,4.431889322914061,-43.02856063842773,5.965
4.3911,4.574674435140364,-43.20148468017578,5.965
4.3911,4.717459547366666,-43.05237579345703,5.965
4.3911,4.8592247659342105,-43.45774841308594,5.965
4.3911,5.0020098781605125,-42.474639892578125,5.965
4.3911,5.144794990386816,-43.03593826293945,5.965
4.3911,5.28656020895436,-43.01874542236328,5.965
4.3911,5.286749202571742,-42.757137298583984,5.965
4.3911,5.429534314798045,-42.94195938110352,5.965
4.3911,5.57129953336559,-43.35677719116211,5.965
4.3911,5.714084645591892,-43.27800369262695,5.965
4.3911,5.856869757818195,-43.13299560546875,5.965
4.3911,5.9986349763857385,-42.99592590332031,5.965
4.3911,6.141420088612042,-43.32421875,5.965
4.3911,6.283185307179586,-43.08295440673828,5.965
4.4889,0.017789567803776943,-43.17429733276367,5.965
4.4889,0.1605746800300799,-43.58340072631836,5.965
4.4889,0.30233989859762367,-42.65675354003906,5.965
4.4889,0.4451250108239269,-43.40116500854492,5.965
4.4889,0.5879101230502298,-43.07715225219727,5.965
4.4889,0.7296753416177736,-42.79422378540039,5.965
4.4889,0.8724604538440768,-42.99755096435547,5.965
4.4889,1.0142256724116203,-43.33123779296875,5.965
4.4889,1.1570107846379236,-43.2537841796875,5.965
4.4889,1.2997958968642267,-43.02856063842773,5.965
4.4889,1.4415611154317702,-42.81990814208984,5.965
4.4889,1.5843462276580733,-42.73106002807617,5.965
4.4889,1.7271313398843766,-42.62264633178711,5.965
4.4889,1.86889655845192,-43.12472534179688,5.965
4.4889,2.011681670678223,-43.04004287719727,5.965
4.4889,2.153446889245767,-42.95145034790039,5.965
4.4889,2.2962320014720703,-42.67559051513672,5.965
4.4889,2.4390171136983736,-43.11625289916992,5.965
4.4889,2.5807823322659167,-42.833194732666016,5.965
4.4889,2.72356744449222,-42.68012237548828,5.965
4.4889,2.8663525567185233,-42.70513534545898,5.965
4.4889,3.008117775286067,-42.62231063842773,5.965
4.4889,3.1509028875123697,-43.32948303222656,5.965
4.4889,3.2926681060799137,-43.28321075439453,5.965
4.4889,3.4354532183062165,-42.9482307434082,5.965
4.4889,3.5782383305325194,-43.82250595092773,5.965
4.4889,3.720003549100063,-42.69147491455078,5.965
4.4889,3.862788661326366,-43.562049865722656,5.965
4.4889,4.005573773552669,-43.14475631713867,5.965
4.4889,4.147338992120214,-43.08378219604492,5.965
4.4889,4.290124104346516,-43.2563705444336,5.965
4.4889,4.431889322914061,-43.315460205078125,5.965
4.4889,4.574674435140364,-43.37802505493164,5.965
4.4889,4.717459547366666,-43.1734504699707,5.965
4.4889,4.8592247659342105,-42.85753631591797,5.965
4.4889,5.0020098781605125,-43.051551818847656,5.965
4.4889,5.144794990386816,-42.96111297607422,5.965
4.4889,5.28656020895436,-42.77023696899414,5.965
4.4889,5.286749202571742,-43.1599235534668,5.965
4.4889,5.429534314798045,-43.26068878173828,5.965
4.4889,5.57129953336559,-42.68465805053711,5.965
4.4889,5.714084645591892,-42.92578125,5.965
4.4889,5.856869757818195,-42.78182601928711,5.965
4.4889,5.9986349763857385,-43.08460998535156,5.965
4.4889,6.141420088612042,-43.21770477294922,5.965
4.4889,6.283185307179586,-43.08046722412109,5.965
4.5867,0.017789567803776943,-42.68844223022461,5.965
4.5867,0.1605746800300799,-43.15654754638672,5.965
4.5867,0.30233989859762367,-42.70969772338867,5.965
4.5867,0.4451250108239269,-42.95708465576172,5.965
4.5867,0.5879101230502298,-43.21599578857422,5.965
4.5867,0.7296753416177736,-42.94599151611328,5.965
4.5867,0.8724604538440768,-42.772552490234375,5.965
4.5867,1.0142256724116203,-43.694618225097656,5.965
4.5867,1.1570107846379236,-42.60396194458008,5.965
4.5867,1.2997958968642267,-43.26674270629883,5.965
4.5867,1.4415611154317702,-42.66352462768555,5.965
4.5867,1.5843462276580733,-42.84103393554688,5.965
4.5867,1.7271313398843766,-43.04826354980469,5.965
4.5867,1.86889655845192,-42.86620330810547,5.965
4.5867,2.011681670678223,-43.12294006347656,5.965
4.5867,2.153446889245767,-42.97484588623047,5.965
4.5867,2.2962320014720703,-43.031837463378906,5.965
4.5867,2.4390171136983736,-42.7371826171875,5.965
4.5867,2.5807823322659167,-43.12880325317383,5.965
4.5867,2.72356744449222,-42.78182601928711,5.965
4.5867,2.8663525567185233,-43.1734504699707,5.965
4.5867,3.008117775286067,-42.96272659301758,5.965
4.5867,3.1509028875123697,-42.99592590332031,5.965
4.5867,3.2926681060799137,-42.80977249145508,5.965
4.5867,3.4354532183062165,-42.982940673828125,5.965
4.5867,3.5782383305325194,-42.977272033691406,5.965
4.5867,3.720003549100063,-42.692230224609375,5.965
4.5867,3.862788661326366,-42.65901184082031,5.965
4.5867,4.005573773552669,-42.71807861328125,5.965
4.5867,4.147338992120214,-42.96434020996094,5.965
4.5867,4.290124104346516,-42.78569793701172,5.965
4.5867,4.431889322914061,-43.01792907714844,5.965
4.5867,4.574674435140364,-43.50592803955078,5.965
4.5867,4.717459547366666,-43.22969818115234,5.965
4.5867,4.8592247659342105,-43.30497360229492,5.965
4.5867,5.0020098781605125,-43.17091369628906,5.965
4.5867,5.144794990386816,-42.52277374267578,5.965
4.5867,5.28656020895436,-43.11457824707031,5.965
4.5867,5.286749202571742,-42.864627838134766,5.965
4.5867,5.429534314798045,-43.06309509277344,5.965
4.5867,5.57129953336559,-43.32860565185547,5.965
4.5867,5.714084645591892,-43.3647346496582,5.965
4.5867,5.856869757818195,-43.34883499145508,5.965
4.5867,5.9986349763857385,-42.99267578125,5.965
4.5867,6.141420088612042,-43.21343231201172,5.965
4.5867,6.283185307179586,-42.8843879699707,5.965
4.6844,0.017789567803776943,-43.26674270629883,5.965
4.6844,0.1605746800300799,-43.315460205078125,5.965
4.6844,0.30233989859762367,-42.80665969848633,5.965
4.6844,0.4451250108239269,-42.58684158325195,5.965
4.6844,0.5879101230502298,-42.56084442138672,5.965
4.6844,0.7296753416177736,-43.32071304321289,5.965
4.6844,0.8724604538440768,-42.718841552734375,5.965
4.6844,1.0142256724116203,-43.06639862060547,5.965
4.6844,1.1570107846379236,-42.88993835449219,5.965
4.6844,1.2997958968642267,-42.73258972167969,5.965
4.6844,1.4415611154317702,-42.7981071472168,5.965
4.6844,1.5843462276580733,-42.94742965698242,5.965
4.6844,1.7271313398843766,-42.98699569702149,5.965
4.6844,1.86889655845192,-42.73794937133789,5.965
4.6844,2.011681670678223,-42.671817779541016,5.965
4.6844,2.153446889245767,-42.83633041381836,5.965
4.6844,2.2962320014720703,-43.5214958190918,5.965
4.6844,2.4390171136983736,-42.7257080078125,5.965
4.6844,2.5807823322659167,-42.64699172973633,5.965
4.6844,2.72356744449222,-43.26414489746094,5.965
4.6844,2.8663525567185233,-43.14980697631836,5.965
4.6844,3.008117775286067,-42.59406280517578,5.965
4.6844,3.1509028875123697,-43.22113037109375,5.965
4.6844,3.2926681060799137,-42.57778930664063,5.965
4.6844,3.4354532183062165,-43.08626937866211,5.965
4.6844,3.5782383305325194,-42.70361709594727,5.965
4.6844,3.720003549100063,-43.00569152832031,5.965
4.6844,3.862788661326366,-43.271934509277344,5.965
4.6844,4.005573773552669,-43.27973937988281,5.965
4.6844,4.147338992120214,-43.090423583984375,5.965
4.6844,4.290124104346516,-43.32860565185547,5.965
4.6844,4.431889322914061,-42.95145034790039,5.965
4.6844,4.574674435140364,-42.872520446777344,5.965
4.6844,4.717459547366666,-42.92098236083984,5.965
4.6844,4.8592247659342105,-43.14391708374024,5.965
4.6844,5.0020098781605125,-43.10373306274414,5.965
4.6844,5.144794990386816,-42.66051483154297,5.965
4.6844,5.28656020895436,-42.70969772338867,5.965
4.6844,5.286749202571742,-43.34266662597656,5.965
4.6844,5.429534314798045,-42.79888153076172,5.965
4.6844,5.57129953336559,-42.77796173095703,5.965
4.6844,5.714084645591892,-42.91619110107422,5.965
4.6844,5.856869757818195,-43.21257781982422,5.965
4.6844,5.9986349763857385,-43.123779296875,5.965
4.6844,6.141420088612042,-42.46916580200195,5.965
4.6844,6.283185307179586,-42.83633041381836,5.965
4.7822,0.017789567803776943,-43.05484771728516,5.965
4.7822,0.1605746800300799,-43.22883987426758,5.965
4.7822,0.30233989859762367,-42.9273796081543,5.965
4.7822,0.4451250108239269,-42.760215759277344,5.965
4.7822,0.5879101230502298,-43.20148468017578,5.965
4.7822,0.7296753416177736,-43.05567169189453,5.965
4.7822,0.8724604538440768,-43.40652084350586,5.965
4.7822,1.0142256724116203,-43.13383483886719,5.965
4.7822,1.1570107846379236,-42.869361877441406,5.965
4.7822,1.2997958968642267,-43.27800369262695,5.965
4.7822,1.4415611154317702,-42.639156341552734,5.965
4.7822,1.5843462276580733,-42.88518142700195,5.965
4.7822,1.7271313398843766,-43.30323028564453,5.965
4.7822,1.86889655845192,-42.84260177612305,5.965
4.7822,2.011681670678223,-43.27713394165039,5.965
4.7822,2.153446889245767,-43.035118103027344,5.965
4.7822,2.2962320014720703,-43.08544158935547,5.965
4.7822,2.4390171136983736,-42.55937194824219,5.965
4.7822,2.5807823322659167,-43.29538345336914,5.965
4.7822,2.72356744449222,-43.12126922607422,5.965
4.7822,2.8663525567185233,-42.73794937133789,5.965
4.7822,3.008117775286067,-39.15497589111328,6.028290414878398
4.7822,3.1509028875123697,-30.81747817993164,6.029291845493563
4.7822,3.2926681060799137,-33.00204849243164,6.03049356223176
4.7822,3.4354532183062165,-34.401641845703125,6.031695278969957
4.7822,3.5782383305325194,-43.39046859741211,5.965
4.7822,3.720003549100063,-42.48648071289063,5.965
4.7822,3.862788661326366,-43.00612258911133,5.965
4.7822,4.005573773552669,-43.23656845092773,5.965
4.7822,4.147338992120214,-43.28668594360352,5.965
4.7822,4.290124104346516,-42.88755798339844,5.965
4.7822,4.431889322914061,-42.982940673828125,5.965
4.7822,4.574674435140364,-42.73106002807617,5.965
4.7822,4.717459547366666,-43.15065002441406,5.965
4.7822,4.8592247659342105,-43.1222038269043,5.965
4.7822,5.0020098781605125,-43.37092971801758,5.965
4.7822,5.144794990386816,-42.83633041381836,5.965
4.7822,5.28656020895436,-42.89390563964844,5.965
4.7822,5.286749202571742,-42.93538665771485,5.965
4.7822,5.429534314798045,-43.52706527709961,5.965
4.7822,5.57129953336559,-42.81522750854492,5.965
4.7822,5.714084645591892,-43.10123443603516,5.965
4.7822,5.856869757818195,-43.04474639892578,5.965
4.7822,5.9986349763857385,-43.16583633422852,5.965
4.7822,6.141420088612042,-43.362342834472656,5.965
4.7822,6.283185307179586,-42.76560974121094,5.965
4.88,0.017789567803776943,-42.95487976074219,5.965
4.88,0.1605746800300799,-43.43849563598633,5.965
4.88,0.30233989859762367,-42.64549255371094,5.965
4.88,0.4451250108239269,-42.68465805053711,5.965
4.88,0.5879101230502298,-43.068878173828125,5.965
4.88,0.7296753416177736,-43.13887405395508,5.965
4.88,0.8724604538440768,-43.007320404052734,5.965
4.88,1.0142256724116203,-42.89628601074219,5.965
4.88,1.1570107846379236,-43.16330337524414,5.965
4.88,1.2997958968642267,-42.41550064086914,5.965
4.88,1.4415611154317702,-42.83997344970703,5.965
4.88,1.5843462276580733,-43.01058197021485,5.965
4.88,1.7271313398843766,-43.551876068115234,5.965
4.88,1.86889655845192,-43.09208297729492,5.965
4.88,2.011681670678223,-42.99876403808594,5.965
4.88,2.153446889245767,-42.82928466796875,5.965
4.88,2.2962320014720703,-43.31021499633789,5.965
4.88,2.4390171136983736,-43.07218551635742,5.965
4.88,2.5807823322659167,-42.4190559387207,5.965
4.88,2.72356744449222,-43.28060531616211,5.965
4.88,2.8663525567185233,-24.11536026000977,6.027088698140201
4.88,3.008117775286067,-21.34829330444336,6.028290414878398
4.88,3.1509028875123697,-20.431915283203125,6.029492131616595
4.88,3.2926681060799137,-20.67911148071289,6.03049356223176
4.88,3.4354532183062165,-22.05941772460937,6.031695278969957
4.88,3.5782383305325194,-25.313255310058597,6.032896995708155
4.88,3.720003549100063,-42.49806213378906,5.965
4.88,3.862788661326366,-42.66352462768555,5.965
4.88,4.005573773552669,-42.71274566650391,5.965
4.88,4.147338992120214,-42.90901565551758,5.965
4.88,4.290124104346516,-43.19722366333008,5.965
4.88,4.431889322914061,-42.90103912353516,5.965
4.88,4.574674435140364,-43.53630065917969,5.965
4.88,4.717459547366666,-42.852027893066406,5.965
4.88,4.8592247659342105,-43.61328125,5.965
4.88,5.0020098781605125,-42.56673049926758,5.965
4.88,5.144794990386816,-42.88509368896485,5.965
4.88,5.28656020895436,-43.05567169189453,5.965
4.88,5.286749202571742,-42.99999237060547,5.965
4.88,5.429534314798045,-42.830848693847656,5.965
4.88,5.57129953336559,-43.36322784423828,5.965
4.88,5.714084645591892,-43.26933670043945,5.965
4.88,5.856869757818195,-43.16414642333984,5.965
4.88,5.9986349763857385,-42.92898178100586,5.965
4.88,6.141420088612042,-42.957889556884766,5.965
4.88,6.283185307179586,-43.07632446289063,5.965
4.9778,0.017789567803776943,-42.99592590332031,5.965
4.9778,0.1605746800300799,-43.093746185302734,5.965
4.9778,0.30233989859762367,-43.21086883544922,5.965
4.9778,0.4451250108239269,-43.3647346496582,5.965
4.9778,0.5879101230502298,-43.45142364501953,5.965
4.9778,0.7296753416177736,-42.9710807800293,5.965
4.9778,0.8724604538440768,-42.97322845458984,5.965
4.9778,1.0142256724116203,-42.82772064208984,5.965
4.9778,1.1570107846379236,-43.35147857666016,5.965
4.9778,1.2997958968642267,-42.93378448486328,5.965
4.9778,1.4415611154317702,-43.42315673828125,5.965
4.9778,1.5843462276580733,-42.872520446777344,5.965
4.9778,1.7271313398843766,-42.9710807800293,5.965
4.9778,1.86889655845192,-43.61515426635742,5.965
4.9778,2.011681670678223,-42.864627838134766,5.965
4.9778,2.153446889245767,-42.532989501953125,5.965
4.9778,2.2962320014720703,-43.23227310180664,5.965
4.9778,2.4390171136983736,-42.4886474609375,5.965
4.9778,2.5807823322659167,-28.709941864013672,6.024685264663805
4.9778,2.72356744449222,-19.81113052368164,6.025886981402003
4.9778,2.8663525567185233,-17.594005584716797,6.027288984263233
4.9778,3.008117775286067,-17.312114715576172,6.028490701001432
4.9778,3.1509028875123697,-17.40493392944336,6.029492131616595
4.9778,3.2926681060799137,-17.921863555908203,6.030693848354793
4.9778,3.4354532183062165,-17.924209594726562,6.03189556509299
4.9778,3.5782383305325194,-20.37026596069336,6.032896995708155
4.9778,3.720003549100063,-22.86003875732422,6.034098712446352
4.9778,3.862788661326366,-42.9482307434082,5.965
4.9778,4.005573773552669,-43.27106857299805,5.965
4.9778,4.147338992120214,-43.10877990722656,5.965
4.9778,4.290124104346516,-43.01221466064453,5.965
4.9778,4.431889322914061,-42.549095153808594,5.965
4.9778,4.574674435140364,-43.02283477783203,5.965
4.9778,4.717459547366666,-42.66653823852539,5.965
4.9778,4.8592247659342105,-42.766380310058594,5.965
4.9778,5.0020098781605125,-42.54323196411133,5.965
4.9778,5.144794990386816,-42.87317657470703,5.965
4.9778,5.28656020895436,-42.838680267333984,5.965
4.9778,5.286749202571742,-42.80121612548828,5.965
4.9778,5.429534314798045,-43.60205078125,5.965
4.9778,5.57129953336559,-42.77178192138672,5.965
4.9778,5.714084645591892,-43.03757858276367,5.965
4.9778,5.856869757818195,-43.33211517333984,5.965
4.9778,5.9986349763857385,-42.57867813110352,5.965
4.9778,6.141420088612042,-43.188720703125,5.965
4.9778,6.283185307179586,-42.89231872558594,5.965
5.0756,0.017789567803776943,-42.72265625,5.965
5.0756,0.1605746800300799,-42.59999465942383,5.965
5.0756,0.30233989859762367,-43.17768859863281,5.965
5.0756,0.4451250108239269,-42.76715087890625,5.965
5.0756,0.5879101230502298,-42.78831100463867,5.965
5.0756,0.7296753416177736,-42.96192169189453,5.965
5.0756,0.8724604538440768,-43.330360412597656,5.965
5.0756,1.0142256724116203,-43.52884292602539,5.965
5.0756,1.1570107846379236,-42.830848693847656,5.965
5.0756,1.2997958968642267,-43.202781677246094,5.965
5.0756,1.4415611154317702,-43.19382095336914,5.965
5.0756,1.5843462276580733,-43.2285385131836,5.965
5.0756,1.7271313398843766,-43.25205993652344,5.965
5.0756,1.86889655845192,-42.80510330200195,5.965
5.0756,2.011681670678223,-42.95466995239258,5.965
5.0756,2.153446889245767,-43.49314880371094,5.965
5.0756,2.2962320014720703,-42.91459655761719,5.965
5.0756,2.4390171136983736,-24.793621063232425,6.023483547925608
5.0756,2.5807823322659167,-19.45574188232422,6.024885550786839
