Gain [dB],Phase [rads.],Amplitude [dBm],frequency_lc
4.055696202531646,2.3064857456735193,2.6867051162951884e-14,1496250.3600000455
4.055696202531646,2.3860197369036404,3.705509286735324e-14,1290733.4137500392
4.055696202531646,2.465553728133762,2.1007891995692872e-12,1089566.0325000333
4.055696202531646,2.5450877193638832,1.078202883442356e-14,890573.4337500271
4.055696202531646,2.6246217105940044,4.813812087534079e-13,697017.7912500212
4.055696202531646,2.704155701824126,3.6249599766294e-14,511073.88750001555
4.055696202531646,2.783689693054247,2.0059945664260763e-13,319693.02750000975
4.055696202531646,2.863223684284369,4.049285130617114e-14,134836.51500000412
4.055696202531646,2.94275767551449,1.4857786093324254e-13,836203.8712500255
4.055696202531646,3.022291666744611,1.3662780663701146e-14,-208779.12000000634
4.055696202531646,3.1018256579747328,5.009270126515e-13,532821.7125000162
4.055696202531646,3.181359649204854,1.457199690758382e-13,-532821.7125000162
4.055696202531646,3.2608936404349755,1.4897945404792263e-14,208779.12000000634
4.055696202531646,3.3404276316650967,1.455782574075584e-12,-836203.8712500255
4.055696202531646,3.419961622895218,1.7994480350098283e-14,-134836.51500000412
4.055696202531646,3.4994956141253395,1.4944912854409917e-13,-319693.02750000975
4.055696202531646,3.5790296053554607,1.1854613011649634e-13,-511073.88750001555
4.055696202531646,3.6585635965855823,7.045519619842469e-15,-697017.7912500212
4.055696202531646,3.7380975878157034,2.0715317846187246e-13,-890573.4337500271
4.055696202531646,3.817631579045825,2.1283895196143137e-14,-1089566.0325000333
4.055696202531646,3.8971655702759462,2.9908026390648e-14,-1290733.4137500392
4.055696202531646,3.9766995615060674,9.784317680964923e-14,-1496250.3600000455
4.055696202531646,4.056233552736189,1.970250221195951e-12,-1705029.480000052
4.055696202531646,4.135767543966311,7.528527771983021e-13,-1917070.7737500584
4.055696202531646,4.215301535196431,8.705912703112794e-15,-2130199.458750065
4.055696202531646,4.294835526426553,7.42614073093538e-13,-2345502.9262500713
4.055696202531646,4.374369517656675,9.862262502776553e-14,-2555369.4375000778
4.055696202531646,4.453903508886795,5.720107100119578e-15,-2764148.557500084
4.055696202531646,4.533437500116917,1.0892429360020874e-13,-2975102.4600000908
4.055696202531646,4.6129714913470385,2.9355476248754085e-14,-3187143.753750097
4.055696202531646,4.692505482577159,1.9499437102391805e-13,-3394835.4825001033
4.055696202531646,4.772039473807281,7.768567995864605e-14,-3602527.2112501096
4.055696202531646,4.8515734650374025,8.986976699851227e-15,-3809131.548750116
4.055696202531646,4.931107456267524,3.8091605769150096e-13,-4014648.495000122
4.055696202531646,5.010641447497645,5.313116252183638e-14,-4221252.832500128
4.055696202531646,5.0901754387277665,1.1834241024606698e-12,4290845.872500131
4.055696202531646,5.169709429957888,4.942860332453546e-13,4084241.5350001245
4.055696202531646,5.249243421188009,6.149752403933854e-14,3900472.4137501186
4.055696202531646,5.32877741241813,1.2368412354582798e-14,3721052.857500113
4.055696202531646,5.408311403648252,9.89742529018806e-14,3541633.3012501076
4.055696202531646,5.487845394878374,7.211289293141339e-14,3362213.7450001026
4.055696202531646,5.567379386108494,3.8156975578314956e-13,3191493.318750097
4.055696202531646,5.646913377338616,6.526144976233136e-14,3056656.803750093
4.055696202531646,5.726447368568738,5.853033979733362e-14,2890285.942500088
4.055696202531646,5.805981359798858,4.170369382189239e-13,2734788.9937500833
4.055696202531646,5.88551535102898,2.1515959038139935e-13,2580379.4362500785
4.055696202531646,5.9650493422591016,1.405624772254009e-13,2429232.052500074
4.055696202531646,6.044583333489222,8.172851982840336e-14,2290045.9725000695
4.055696202531646,6.124117324719344,4.1820822130564945e-13,2144335.545000065
4.055696202531646,6.2036513159494655,8.485661398217112e-14,2002974.6825000609
4.055696202531646,6.283185307179586,1.087448067662186e-12,-1864875.9937500567
4.111392405063291,0.0,3.3024322958248124e-13,-1828992.0825000557
4.111392405063291,0.07953399123012135,9.646057210410707e-14,-1968178.16250006
4.111392405063291,0.1590679824602427,6.359112053590704e-14,-2110626.416250064
4.111392405063291,0.23860197369036407,2.978197645672287e-13,-2256336.8437500685
4.111392405063291,0.3181359649204854,1.5881235293838277e-13,-2398785.097500073
4.111392405063291,0.39766995615060674,1.7787778939667242e-13,-2548845.0900000776
4.111392405063291,0.47720394738072813,3.358905572232586e-14,-2703254.6475000824
4.111392405063291,0.5567379386108494,1.5547965563179536e-14,-2859838.987500087
4.111392405063291,0.6362719298409708,6.686782253434715e-14,-3026209.848750092
4.111392405063291,0.7158059210710922,1.3160240709606883e-12,-3159958.972500096
4.111392405063291,0.7953399123012135,1.6557536224461062e-14,-3335028.9637501016
4.111392405063291,0.8748739035313349,1.5254467660569048e-14,-3512273.737500107
4.111392405063291,0.9544078947614563,2.1891383333333654e-14,-3692780.6850001123
4.111392405063291,1.0339418859915777,6.172820463919996e-14,-3874375.023750118
4.111392405063291,1.1134758772216988,2.017371481790476e-14,-4066843.275000124
4.111392405063291,1.1930098684518202,2.8281751467479437e-14,-4262573.70000013
4.111392405063291,1.2725438596819416,6.066224792935057e-13,4251699.787500129
4.111392405063291,1.352077850912063,2.5095319693556374e-14,4041833.276250123
4.111392405063291,1.4316118421421844,4.0920142560813853e-13,3833054.156250117
4.111392405063291,1.5111458333723056,1.7282642730216462e-14,3626449.8187501105
4.111392405063291,1.590679824602427,4.926087120073197e-13,3417670.698750104
4.111392405063291,1.6702138158325484,2.8115163831255107e-13,3206716.7962500975
4.111392405063291,1.7497478070626697,1.0717046599435777e-13,2995762.893750091
4.111392405063291,1.8292817982927911,2.2448122152467608e-13,2609739.0000000796
4.111392405063291,1.9088157895229125,1.456528044092627e-13,2572767.6975000785
4.111392405063291,1.9883497807530337,1.0276676684634247e-14,2362901.186250072
4.111392405063291,2.0678837719831553,1.4570309221261512e-12,2144335.545000065
4.111392405063291,2.1474177632132765,1.8782554823734423e-13,1930119.4687500587
4.111392405063291,2.2269517544433977,9.961588026939055e-14,1718078.1750000522
4.111392405063291,2.3064857456735193,1.1068390927058858e-14,1508211.663750046
4.111392405063291,2.3860197369036404,4.64908433333744e-14,1301607.3262500395
4.111392405063291,2.465553728133762,8.973120576535063e-14,1098265.1625000334
4.111392405063291,2.5450877193638832,1.4986951808072048e-12,899272.5637500273
4.111392405063291,2.6246217105940044,9.019387944418591e-14,704629.5300000214
4.111392405063291,2.704155701824126,4.9739266846229935e-14,517598.23500001576
4.111392405063291,2.783689693054247,1.334478193530225e-13,1108051.6837500336
4.111392405063291,2.863223684284369,1.7853918780084451e-13,139186.08000000424
4.111392405063291,2.94275767551449,3.378398322419596e-13,-36971.302500001126
4.111392405063291,3.022291666744611,2.7247280464638522e-14,687231.270000021
4.111392405063291,3.1018256579747328,2.0388558124508458e-13,-372975.19875001133
4.111392405063291,3.181359649204854,6.3510599424183e-14,372975.19875001133
4.111392405063291,3.2608936404349755,3.0489901734919856e-14,-687231.270000021
4.111392405063291,3.3404276316650967,6.090047180134499e-13,36971.302500001126
4.111392405063291,3.419961622895218,9.586401662867738e-13,-139186.08000000424
4.111392405063291,3.4994956141253395,1.6810027570954935e-14,-1108051.6837500336
4.111392405063291,3.5790296053554607,7.958950909938197e-14,-517598.23500001576
4.111392405063291,3.6585635965855823,6.008085329312313e-13,-704629.5300000214
4.111392405063291,3.7380975878157034,6.023534649119555e-14,-899272.5637500273
4.111392405063291,3.817631579045825,1.1585876978279356e-14,-1098265.1625000334
4.111392405063291,3.8971655702759462,1.4563025252431543e-14,-1301607.3262500395
4.111392405063291,3.9766995615060674,7.447255850211402e-15,-1508211.663750046
4.111392405063291,4.056233552736189,3.776966638460606e-14,-1718078.1750000522
4.111392405063291,4.135767543966311,9.439560877882733e-14,-1930119.4687500587
4.111392405063291,4.215301535196431,4.2098772304817764e-13,-2144335.545000065
4.111392405063291,4.294835526426553,8.969756783534032e-15,-2362901.186250072
4.111392405063291,4.374369517656675,3.7650262268830436e-14,-2572767.6975000785
4.111392405063291,4.453903508886795,2.1574416771429498e-13,-2609739.0000000796
4.111392405063291,4.533437500116917,1.6060079490631253e-15,-2995762.893750091
4.111392405063291,4.6129714913470385,6.684409926230202e-14,-3206716.7962500975
4.111392405063291,4.692505482577159,7.341736117910576e-16,-3417670.698750104
4.111392405063291,4.772039473807281,1.871880724225361e-12,-3626449.8187501105
4.111392405063291,4.8515734650374025,1.2080893532931212e-14,-3833054.156250117
4.111392405063291,4.931107456267524,4.459778237692862e-14,-4041833.276250123
4.111392405063291,5.010641447497645,3.4492341277251397e-13,-4251699.787500129
4.111392405063291,5.0901754387277665,3.7758044053473664e-13,4262573.70000013
4.111392405063291,5.169709429957888,1.7286936894627376e-13,4066843.275000124
4.111392405063291,5.249243421188009,6.862742463803118e-14,3874375.023750118
4.111392405063291,5.32877741241813,6.520463255210778e-14,3692780.6850001123
4.111392405063291,5.408311403648252,2.5881720831918176e-13,3512273.737500107
4.111392405063291,5.487845394878374,1.6926713621871865e-13,3335028.9637501016
4.111392405063291,5.567379386108494,6.516469394752419e-14,3159958.972500096
4.111392405063291,5.646913377338616,1.2020208751439513e-13,3026209.848750092
4.111392405063291,5.726447368568738,2.941210275688397e-14,2859838.987500087
4.111392405063291,5.805981359798858,1.758385611563697e-13,2703254.6475000824
4.111392405063291,5.88551535102898,7.732545425101695e-13,2548845.0900000776
4.111392405063291,5.9650493422591016,2.745942349724453e-13,2398785.097500073
4.111392405063291,6.044583333489222,6.378513426359741e-14,2256336.8437500685
4.111392405063291,6.124117324719344,2.1062415114311202e-13,2110626.416250064
4.111392405063291,6.2036513159494655,8.412935056367093e-13,1968178.16250006
4.111392405063291,6.283185307179586,3.302432296113476e-13,-1828992.0825000557
4.167088607594937,0.0,1.2240427043886416e-13,-1793108.1712500546
4.167088607594937,0.07953399123012135,7.027372255183808e-14,-1932294.2512500589
4.167088607594937,0.1590679824602427,1.072717199326237e-12,-2075829.896250063
4.167088607594937,0.23860197369036407,1.551139516169235e-13,-2221540.3237500675
4.167088607594937,0.3181359649204854,9.310792225269675e-13,-2369425.533750072
4.167088607594937,0.39766995615060674,1.324546667291106e-13,-2517310.7437500767
4.167088607594937,0.47720394738072813,9.032760586329236e-13,-2670632.910000081
4.167088607594937,0.5567379386108494,4.4963377617159444e-14,-2829392.032500086
4.167088607594937,0.6362719298409708,2.7496828792582915e-13,-2999025.067500091
4.167088607594937,0.7158059210710922,2.4657240248423287e-14,-3125162.452500095
4.167088607594937,0.7953399123012135,6.681345718426023e-14,-3304582.0087501006
4.167088607594937,0.8748739035313349,3.153950883300227e-13,-3481826.782500106
4.167088607594937,0.9544078947614563,7.651708695238651e-15,-3664508.5125001115
4.167088607594937,1.0339418859915777,2.0050517757757694e-12,-3845015.460000117
4.167088607594937,1.1134758772216988,7.410446784763969e-13,-4030959.3637501225
4.167088607594937,1.1930098684518202,1.0128571742078521e-13,-4234301.527500129
4.167088607594937,1.2725438596819416,5.264134216666466e-14,4279971.96000013
4.167088607594937,1.352077850912063,4.4234171660057864e-13,4069018.057500124
4.167088607594937,1.4316118421421844,4.083380808686549e-14,3858064.1550001176
4.167088607594937,1.5111458333723056,2.3663086302740207e-13,3650372.4262501113
4.167088607594937,1.590679824602427,1.5369869470425696e-13,3440505.915000105
4.167088607594937,1.6702138158325484,1.9978017675998408e-13,3228464.621250098
4.167088607594937,1.7497478070626697,7.299476090224003e-15,3016423.327500092
4.167088607594937,1.8292817982927911,5.130399215518598e-13,2802207.2512500854
4.167088607594937,1.9088157895229125,1.8183938225115932e-14,2593428.131250079
4.167088607594937,1.9883497807530337,3.68258675193547e-14,2379212.0550000723
4.167088607594937,2.0678837719831553,1.6217467840660517e-14,2159559.0225000656
4.167088607594937,2.1474177632132765,1.8847323883739606e-13,1945342.9462500592
4.167088607594937,2.2269517544433977,1.02892546463621e-13,1733301.6525000527
4.167088607594937,2.3064857456735193,1.4932489817551728e-14,1520172.9675000464
4.167088607594937,2.3860197369036404,3.660565122915259e-15,1313568.63000004
4.167088607594937,2.465553728133762,3.428472975214715e-14,1108051.6837500336
4.167088607594937,2.5450877193638832,1.3507029289977967e-13,907971.6937500277
4.167088607594937,2.6246217105940044,7.120291382562771e-15,711153.8775000216
4.167088607594937,2.704155701824126,1.8155640119141403e-12,524122.58250001597
4.167088607594937,2.783689693054247,2.1892388020826065e-14,329479.54875001
4.167088607594937,2.863223684284369,3.9764101066769685e-14,142448.25375000434
4.167088607594937,2.94275767551449,9.325741902781109e-14,-33709.12875000103
4.167088607594937,3.022291666744611,1.3714377757573616e-13,-205516.94625000627
4.167088607594937,3.1018256579747328,1.9101886934769053e-13,533909.1037500163
4.167088607594937,3.181359649204854,4.495279300435244e-14,-533909.1037500163
4.167088607594937,3.2608936404349755,3.188116755169602e-13,205516.94625000627
4.167088607594937,3.3404276316650967,2.030456078759605e-14,33709.12875000103
4.167088607594937,3.419961622895218,9.76465229579204e-15,-142448.25375000434
4.167088607594937,3.4994956141253395,2.663294452236238e-14,-329479.54875001
4.167088607594937,3.5790296053554607,5.4149268394408006e-14,-524122.58250001597
4.167088607594937,3.6585635965855823,3.9924218416635044e-14,-711153.8775000216
4.167088607594937,3.7380975878157034,2.204409025774636e-13,-907971.6937500277
4.167088607594937,3.817631579045825,1.1003789500317838e-13,-1108051.6837500336
4.167088607594937,3.8971655702759462,4.0263517619115944e-14,-1313568.63000004
4.167088607594937,3.9766995615060674,1.9268884061020846e-13,-1520172.9675000464
4.167088607594937,4.056233552736189,1.480111873044824e-14,-1733301.6525000527
4.167088607594937,4.135767543966311,1.6250839760565014e-14,-1945342.9462500592
4.167088607594937,4.215301535196431,1.6171839713879261e-13,-2159559.0225000656
4.167088607594937,4.294835526426553,5.652044766854724e-13,-2379212.0550000723
4.167088607594937,4.374369517656675,6.781726264219249e-14,-2593428.131250079
4.167088607594937,4.453903508886795,8.436995703223269e-14,-2802207.2512500854
4.167088607594937,4.533437500116917,2.789864810246272e-13,-3016423.327500092
4.167088607594937,4.6129714913470385,2.1244729133147627e-16,-3228464.621250098
4.167088607594937,4.692505482577159,1.497787113973847e-13,-3440505.915000105
4.167088607594937,4.772039473807281,2.9575754822146184e-14,-3650372.4262501113
4.167088607594937,4.8515734650374025,7.336849264790819e-16,-3858064.1550001176
4.167088607594937,4.931107456267524,7.429850973667742e-15,-4069018.057500124
4.167088607594937,5.010641447497645,8.157637486214949e-13,-4279971.96000013
4.167088607594937,5.0901754387277665,1.3252753222814832e-13,4234301.527500129
4.167088607594937,5.169709429957888,1.0682024500076061e-13,4030959.3637501225
4.167088607594937,5.249243421188009,2.7270715097779973e-14,3845015.460000117
4.167088607594937,5.32877741241813,1.2453290085593386e-13,3664508.5125001115
4.167088607594937,5.408311403648252,5.920305400901933e-14,3481826.782500106
4.167088607594937,5.487845394878374,2.0522455683090527e-14,3304582.0087501006
4.167088607594937,5.567379386108494,4.3169227130586647e-14,3125162.452500095
4.167088607594937,5.646913377338616,7.228361622725803e-14,2999025.067500091
4.167088607594937,5.726447368568738,2.8977594107148324e-13,2829392.032500086
4.167088607594937,5.805981359798858,2.986188098841741e-13,2670632.910000081
4.167088607594937,5.88551535102898,2.6291176703305376e-13,2517310.7437500767
4.167088607594937,5.9650493422591016,3.171919386223296e-13,2369425.533750072
4.167088607594937,6.044583333489222,1.6497215743979052e-13,2221540.3237500675
4.167088607594937,6.124117324719344,2.0346481861428354e-13,2075829.896250063
4.167088607594937,6.2036513159494655,3.334886730677579e-13,1932294.2512500589
4.167088607594937,6.283185307179586,1.2240427044102804e-13,-1793108.1712500546
4.222784810126583,0.0,8.051214950749726e-14,-3914608.500000119
4.222784810126583,0.07953399123012135,9.133959681964145e-14,-1897497.7312500577
4.222784810126583,0.1590679824602427,1.0111883921075652e-12,-2041033.3762500621
4.222784810126583,0.23860197369036407,6.19727552150518e-14,-2187831.1950000664
4.222784810126583,0.3181359649204854,6.641086024600892e-14,-2338978.578750071
4.222784810126583,0.39766995615060674,1.9937815203722198e-13,-2485776.397500076
4.222784810126583,0.47720394738072813,4.8642878185154207e-14,-2640185.95500008
4.222784810126583,0.5567379386108494,1.5114436705806036e-14,-2798945.0775000853
4.222784810126583,0.6362719298409708,5.768796144694292e-14,-2965315.93875009
4.222784810126583,0.7158059210710922,1.6618427954444516e-13,-3095802.8887500945
4.222784810126583,0.7953399123012135,1.1253887839270812e-13,-3275222.4450000995
4.222784810126583,0.8748739035313349,7.0128728511645174e-15,-3455729.3925001053
4.222784810126583,0.9544078947614563,2.6432137948979986e-14,-3635148.948750111
4.222784810126583,1.0339418859915777,5.78418692679503e-14,-3816743.287500116
4.222784810126583,1.1134758772216988,4.736269117874693e-15,-4008124.147500122
4.222784810126583,1.1930098684518202,9.099406909678667e-13,-4200592.398750128
4.222784810126583,1.2725438596819416,5.407580662867328e-14,4308244.132500131
4.222784810126583,1.352077850912063,6.944896945399624e-14,4097290.230000125
4.222784810126583,1.4316118421421844,1.4586975013713989e-15,3881986.762500118
4.222784810126583,1.5111458333723056,2.869072042670963e-14,3674295.0337501117
4.222784810126583,1.590679824602427,1.5782626334856882e-13,3463341.1312501053
4.222784810126583,1.6702138158325484,4.675208762626078e-13,3251299.837500099
4.222784810126583,1.7497478070626697,1.1900141353638004e-13,3037083.7612500926
4.222784810126583,1.8292817982927911,3.1639158085210813e-13,2822867.6850000857
4.222784810126583,1.9088157895229125,2.9140920327302405e-15,2610826.3912500795
4.222784810126583,1.9883497807530337,1.7212014476364853e-12,2396610.315000073
4.222784810126583,2.0678837719831553,4.999406966728318e-14,2174782.500000066
4.222784810126583,2.1474177632132765,5.805993912549326e-15,1960566.4237500597
4.222784810126583,2.2269517544433977,1.0437315741510105e-13,1747437.738750053
4.222784810126583,2.3064857456735193,1.9114043546847317e-14,1532134.2712500466
4.222784810126583,2.3860197369036404,6.981925531594527e-14,1324442.5425000403
4.222784810126583,2.465553728133762,3.464543411153138e-14,1118925.5962500342
4.222784810126583,2.5450877193638832,3.739852741644152e-15,916670.8237500279
4.222784810126583,2.6246217105940044,6.178873059936177e-14,718765.6162500218
4.222784810126583,2.704155701824126,1.0362613315975845e-14,530646.9300000161
4.222784810126583,2.783689693054247,4.971777121509829e-13,334916.5050000102
4.222784810126583,2.863223684284369,9.167228863065617e-14,146797.81875000446
4.222784810126583,2.94275767551449,2.292534408709576e-13,-30446.955000000926
4.222784810126583,3.022291666744611,1.1914000641075568e-13,690493.443750021
4.222784810126583,3.1018256579747328,3.1878300122937815e-13,-371887.80750001135
4.222784810126583,3.181359649204854,2.2864855117821206e-13,371887.80750001135
4.222784810126583,3.2608936404349755,3.9676391397226e-13,-690493.443750021
4.222784810126583,3.3404276316650967,3.0630248299217324e-14,30446.955000000926
4.222784810126583,3.419961622895218,2.4472842339800345e-13,-146797.81875000446
4.222784810126583,3.4994956141253395,2.8922220313158477e-14,-334916.5050000102
4.222784810126583,3.5790296053554607,3.3564284003543276e-14,-530646.9300000161
4.222784810126583,3.6585635965855823,5.0554344657530626e-14,-718765.6162500218
4.222784810126583,3.7380975878157034,1.4826075273071722e-12,-916670.8237500279
4.222784810126583,3.817631579045825,1.2825486629579057e-14,-1118925.5962500342
4.222784810126583,3.8971655702759462,2.339814521250175e-13,-1324442.5425000403
4.222784810126583,3.9766995615060674,2.257474961066562e-15,-1532134.2712500466
4.222784810126583,4.056233552736189,2.824265622562607e-15,-1747437.738750053
4.222784810126583,4.135767543966311,6.186219337938639e-13,-1960566.4237500597
4.222784810126583,4.215301535196431,4.435817871185574e-14,-2174782.500000066
4.222784810126583,4.294835526426553,1.7249838913508706e-14,-2396610.315000073
4.222784810126583,4.374369517656675,8.006075625591145e-15,-2610826.3912500795
4.222784810126583,4.453903508886795,6.046367335829786e-14,-2822867.6850000857
4.222784810126583,4.533437500116917,1.3247959268039813e-14,-3037083.7612500926
4.222784810126583,4.6129714913470385,3.4298560338338085e-14,-3251299.837500099
4.222784810126583,4.692505482577159,3.820304651470367e-13,-3463341.1312501053
4.222784810126583,4.772039473807281,4.0492626336669855e-14,-3674295.0337501117
4.222784810126583,4.8515734650374025,7.380370798771558e-14,-3881986.762500118
4.222784810126583,4.931107456267524,6.637093682883748e-14,-4097290.230000125
4.222784810126583,5.010641447497645,2.8416979400258484e-12,-4308244.132500131
4.222784810126583,5.0901754387277665,2.769951899704154e-14,4200592.398750128
4.222784810126583,5.169709429957888,8.263604369247077e-14,4008124.147500122
